
=== Section 0x000: Main Code (1290 symbols) ===
  80000450  amSetMuteMode
  800212E4  turnLightOn
  800212F8  toggleLight
  8002130C  changeLightColour
  80021338  changeLightColourCycle
  80021358  changeLightIntensity
  800213A8  lightUpdateLights
  8002179C  killLight
  800218A8  lightGetLights
  800218C4  lightGetStrongestEffect
  80021A30  lightUpdateObjects
  80022028  lightDistanceCalc
  8002215C  lightDirectionCalc
  800221F0  lightObject
  800224D0  lightDefaultObjectLight
  80022520  lightSetObjectLight
  80022624  lightSetupLightSources
  800226B8  lightSetupFlareSources
  80022744  lightInitObjectLighting
  800228BC  lightAdjustGlowingLight
  800229B8  lightKillGlowingLight
  800229E0  lightSingleLight
  80022BC4  lightTwoLights
  80022E98  lightMultiLight
  80023170  lightCreateLightTable
  800231C8  lightMakeJointPositions
  8002333C  lightEnviroMap
  800234D0  starfieldFastMove
  80023600  cpuLine
  800237D8  rainFastDraw
  800239D0  camlightInit
  80023A00  camlightFlush
  80023A48  camlightAdd
  80023CB4  camlightDelete
  80023D48  camlightUpdateAll
  80023DAC  camlightUpdate
  80024044  camlightVisibilityCheck
  80024634  camlightDraw
  80024E70  spranimInit
  80024EF4  spranimControl
  80024F40  sprasjiInit
  80024F94  spranimOnceControl
  8002500C  effectboxControl
  800252EC  animInit
  800253F0  animControl
  8002561C  exitControl
  80025A08  doorControl
  8002662C  doorUnlock
  80026824  doorRegisterOpener
  80026A50  doorSwitchControl
  80026CAC  skyControl
  80026D14  texscrollControl
  80026D88  rangetriggerControl
  80026E20  objEnsureNotTargetted
  80026F38  GetAutoAimTarget
  80026FD4  animobjControl
  80026FE0  animplayerInit
  800270C8  animplayerControl
  800270D4  animdroidInit
  800270EC  animdroidControl
  80027120  animGirlEventHandler
  800271A0  animBoyEventHandler
  80027220  animDogEventHandler
  800272B4  animtriggerControl
  800274FC  hitanimInit
  80027564  hitanim2Init
  800275CC  muzzleFlashInit
  800275E8  severedLimbInit
  80027844  severedLimbControl
  80027D08  severedLimbDestroy
  80027DA0  dropletInit
  80027E1C  dropletControl
  80027F90  splashInit
  80028034  splashControl
  800281B4  waterbubbleInit
  80028274  waterbubbleControl
  80028414  invisibilityInit
  8002844C  invisibilityControl
  800285B0  explosionStart
  8002863C  objExplosionSetupTriggers
  800286F4  explosionInit
  80028954  explosionControl
  80028E7C  shockwaveStart
  80028F90  shockwaveInit
  800291BC  shockwaveControl
  80029688  objDrawShockWave
  8002993C  expspriteInit
  80029A20  expspriteControl
  80029B78  explosionFlushBlasts
  80029BA4  explosionAddBlast
  80029CFC  explosionHitTick
  8002A704  explosionBlastHit
  8002AEA0  charSpeak
  8002B064  charPlaySoundEffect
  8002B1D4  charAnimSoundTick
  8002B3F0  cameraGetBlend
  8002EB6C  cameraTopDown
  8002F014  cameraAddOverrideObject
  8002F04C  cameraDeleteOverrideObject
  8002F5F0  sidekickInit
  8002F728  sidekickControl
  80031F44  controlClearAimlocks
  80031FE8  controlPlayerReInit
  80032128  controlDecapitatePlayer
  80032130  controlPlayerInit
  80032A48  controlPlayer
  80033920  controlFrozen
  800339D8  controlRestartPlayer
  80033BB8  controlFadePlayer
  80033D74  controlWalkingBack
  80033F4C  controlThrowWeapon
  80033FA4  dAngle
  80034018  controlMakeGravity
  800340A4  controlMakeV
  80034164  controlFSUvels
  800341B4  controlUpdateJetFlames
  800346C4  controlHalfTurn
  800349AC  controlUpdateBreathing
  80034BB0  controlGroundHits
  80035514  controlSetTransition
  80035894  controlPlatform
  80035AEC  controlAttitude
  80035E14  controlHangOK
  800364D4  controlGrabOK
  80036A30  controlSquashCheckPrior
  80036DBC  controlSquashCheckPost
  80037194  controlCeiling
  80037244  controlDisableJoypad
  80037250  controlReadJoypad
  8003733C  controlSetRumble
  800373E4  controlGetMaxCharge
  80037550  controlUpdateWeapon
  80038324  controlSelectNextWeapon
  80038430  controlSelectWeapon
  80038528  controlSelectPreviousWeapon
  80038630  controlFireDummyShot
  80038F04  controlFreePlayersStuff
  80039FCC  controlUpdatePlayerAim
  8003AABC  controlGetManualAim
  8003B114  controlPlayerGunWeight
  8003B16C  controlPlayerStopAim
  8003B290  controlPlayerStopAimAndLook
  8003B418  controlGetGunBarrelPos
  8003B4D8  controlPlayerTiltList
  8003B4E4  controlSidekickTiltList
  8003B4F0  controlGravity
  8003B500  controlGetWeaponDef
  8003B590  controlAlterMood
  8003B620  controlSetPlayerSetup
  8003B660  controlGetPlayerSetup
  8003B6BC  controlClearPlayerSetup
  8003B6C8  controlPlayerOpenChest
  8003B740  controlPlayerOpeningChest
  8003B820  controlEmptyPlayersHand
  8003B8AC  modInitModels
  8003B9E8  modLoadModel
  8003C7C4  modFreeModel
  8003D150  modFreeAnim
  8003D21C  modGenAnimMatrices
  8003DDBC  modelSetModelFlags
  8003DDC8  modelGetModelFlags
  8003DDD8  makeModelGfx
  8003E638  modMakeLimbModel
  8003EF60  modLoadAnimEvents
  8003F0E4  modFreeAnimEvents
  8003F1B0  modGetMakeBuffer
  8003F1C8  modSetTextureFrame
  8003F284  modSuspendModelTextures
  8003F468  modResumeModelTextures
  8003F500  boot
  8003F5F0  bootCheckStack
  8003F640  camInit
  8003F7A8  camUseShake
  8003F7B8  camIgnoreShake
  8003F7C4  camGetFOV
  8003F7D4  camOverrideProjScales
  8003F7F4  camSetFOV
  8003FA6C  camDistance
  8003FBCC  camGetMode
  8003FBDC  camSetMode
  8003FC1C  camGetNo
  8003FC2C  camSetNo
  8003FC4C  camGetWaterLine
  8003FC60  camSetWaterLine
  8003FC80  camUserViewTick
  8003FE3C  camEnableUserView
  8003FEB8  camDisableUserView
  8003FF34  camIsUserView
  8003FF64  camSetUserView
  800400D8  camSetUserViewSpecial
  800401D8  camGetVisibleUserView
  8004025C  camGetUserView
  800402B0  camGetWindowLimits
  8004046C  camSetView
  800408C0  camSetScissor
  80040A70  camGetPlayerProjMtx
  80040AA4  camSetProjMtx
  80040D58  camOrthoYAspect
  80040D64  camStandardOrtho
  80040E64  camStandardPersp
  80040F2C  camSetViewport
  80040FE4  camResetView
  80041168  camOffsetZero
  80041174  camDoSprite
  80041450  camDoSpriteDirect
  800416CC  camDo2DSprite
  800419AC  camPushFloatModelMtx
  80041A90  camPushMuzzleMtx
  80041BE0  camScaleModelMtx
  80041CA0  camPushModelMtx
  80041DA0  camRestoreModelMtx
  80041DC0  camPopModelMtx
  80041DE0  camGetPtr
  80041E0C  camGetListPtr
  80041E18  camGetInvProjMtx
  80041E24  camGetProjOrgMtx
  80041E40  camGetProjectionMtx
  80041E4C  camGetRotationMtx
  80041E58  camProjectPoint
  80041FE0  camReversePoint
  800420F0  camGetProjZ
  80042134  camCopyOrthoMatrix
  800421F0  camStartShake
  800422C4  camStopShakes
  80042310  camScreenShake
  80042438  camSetZoom
  80042470  camConvertMatrixList
  800424A0  camTick
  800426D0  staticcamFree
  800426DC  staticcamAdd
  800426E8  staticcamDelete
  8004270C  lobbycamInuse
  8004271C  staticcamInuse
  8004272C  lobbycamGetFocalPoint
  80042A74  lobbycamPosition
  80042F48  staticcamPosition
  80042FE0  joyMessageQ
  80042FEC  joyInit
  80043130  joyRead
  800433E0  joyResetMap
  80043404  joyDisable
  80043418  joyEnable
  80043430  joyCreateMap
  800434D0  joyGetController
  800434E4  joyGetButtons
  80043510  joyGetPressed
  80043534  joyGetReleased
  80043558  joyGetStickX
  8004359C  joyGetAbsX
  800435C8  joyGetStickY
  8004360C  joyGetAbsY
  800436B4  joySetSecurity
  800436C0  arithmeticFunction
  80043744  joyCharVal
  80043750  levelGetCounts
  80043B78  levelNGetType
  80043BB8  levelGetTune
  80043BF8  levelGetWorld
  80043C38  levelGetRegionNo
  80043C78  levelGetScreenMode
  80043CC0  levelGetBlurEffect
  80043D08  levelGetGfxIndex
  80043D70  levelGetWorldRegions
  80043E3C  levelInit
  8004455C  levelTunePlay
  80044610  levelUpdateColourCycling
  800446B0  levelGetColourCycling
  800446BC  levelGetNumber
  800446CC  levelGetType
  800446E4  levelGetCamera
  8004470C  levelGetLevel
  8004471C  levelGetName
  800447B4  levelFreeAll
  80044898  levelGetNextOfWorld
  80044928  levelGetPrevOfWorld
  800449C8  levelInitRegionFlags
  80044A1C  levelGetRegionFlags
  80044A6C  levelGetObjectID
  80044AB4  levelSetObjectFlag
  80044AE8  levelObjectFlagSet
  80044B50  mainThread
  80044C20  mainPreNMI
  80044CF0  RevealReturnAddresses
  8004581C  mainAddZBCheck
  80045914  mainUpdateZBCheck
  80045A14  mainGetZBCheck
  80045A44  mainCPUeffects
  80045B98  mainSetGameWindow
  80045DC0  mainGameWindowChanging
  80045DD0  mainGameWindowSize
  80046334  mainValidateRestart
  80046378  mainRestartAfterDeath
  8004665C  mainChangeLevel
  800468A4  mainSetAnimGroup
  800468B0  mainGetAnimGroup
  800468C0  mainChangeCameras
  800468CC  mainGetNextCharacter
  800468DC  mainGetNextLevel
  80047570  mainSyncNextLevel
  80047580  mainSetMode
  8004758C  mainTitlePageInit
  80047608  mainFrontInit
  80047674  mainStartGame
  800476F0  mainSetDefaultGame
  80047868  mainIncreaseWeaponKills
  800478A4  mainIncreaseWeaponShots
  800478E0  mainIncreaseWeaponHits
  8004791C  mainInitMultiPlayer
  8004797C  mainInitMultiPlayerPoints
  80047A20  mainRefreshMultiPlayer
  80047AE0  mainSetDefaultCharacter
  80047C0C  mainGetGame
  80047C1C  mainGetGameCharacter
  80047C9C  mainPlayerCollected
  80047D0C  mainPlayerDropped
  80047D80  mainPlayerHas
  80047DD8  mainAnyoneHas
  80047E44  mainPlayerHasWeapon
  80047E8C  mainGetGameFlagGamePtr
  80047ED0  mainGetGameFlag
  80047EFC  mainSetGameFlag
  80048130  mainSetTribalStatus
  8004822C  mainGetTribalStatus
  800482A0  mainSetLevelWorld
  800482F8  mainGetPauseMode
  80048308  mainSetPauseMode
  80048364  mainResetPressed
  800483B8  mainGetCurrentLevel
  800483C8  mainLoadGame
  800483F8  mainLoadAllGames
  8004841C  mainGetGameArrayPtr
  8004842C  mainSaveGame
  80048460  mainSaveGame2
  800484A4  mainDeleteGame
  800484C0  mainResetSaveGames
  800484D0  mainEraseFlashRom
  800484E0  mainLoadGlobalFlags
  800484FC  mainSaveGlobalFlags
  80048518  mainPauseDisable
  80048524  mainDemoOnly
  80048548  mainGetNumberOfCameras
  80048558  mainGetNumberOfPlayers
  800485C8  mainGetPlayerCharacter
  80048630  mainResetRegion
  800487B8  mainToggleDebug
  80048B00  disableInterrupts
  80048B2C  enableInterrupts
  80048B54  setIntDisFlag
  80048B60  mathMtxXFMF
  80048C00  mathMtxFastXFMF
  80048C7C  mathMtxCatF
  80048D84  mathMtxF2L
  80048E20  mathSeed
  80048E2C  mathRnd
  80048E98  fastShortReflection
  80048F20  mathSquashY
  80048F4C  mathTransY
  80048F90  mathRpyXyzMtx
  8004924C  mathRSMtx
  800492DC  mathOneFloatRPY
  80049394  mathOneFloatYPR
  8004944C  mathOneFloatPY
  800494AC  mathXZInTri
  8004959C  mathTranslateMtx
  800495D8  mathScaleMtx
  80049608  mathCosInterp
  8004960C  mathSinInterp
  80049668  mathCos
  8004966C  mathSin
  800496AC  mathBreakPoint
  800496B0  pointListRPY
  80049798  splinePos
  80049874  matrixScale
  800498E8  matrixTranslate
  80049978  matrixRoll
  80049A30  matrixPitch
  80049AE8  matrixYaw
  80049BA0  matrixID
  80049BEC  Powerf
  80049C30  Cosf
  80049C34  Sinf
  80049C84  Arctanf
  80049D80  mathDiffAngle
  80049DC0  matrix_SCL_RPY_XYZ
  80049F08  matrix_RPY_XYZ
  8004A014  matrix_XYZ_YPR_SCL
  8004A1A0  matrix_XYZ_YPR
  8004A2FC  matrixTransposeVectorMultiply
  8004A3D0  mmInit
  8004A448  mmExtended
  8004A458  mmAllocRegion
  8004A57C  mmAlloc
  8004A60C  mmAlloc2
  8004A7C0  mmAllocR
  8004A828  mmAllocAtAddr
  8004AA08  mmSetDelay
  8004AA14  mmFlushFreeStack
  8004AA80  mmFree
  8004AAC4  mmFreeTick
  8004AE94  mmGetSlotPtr
  8004AEAC  mmGetDelay
  8004AFC4  mmAlign16
  8004AFE0  mmAlign4
  8004AFFC  mmSlotPrint
  8004B0AC  rumbleRumbles
  8004B0B8  rumbleProcessing
  8004B0F4  rumbleStart
  8004B204  rumbleStop
  8004B29C  rumbleAlter
  8004B3D8  rumbleMax
  8004B518  rumbleKill
  8004B55C  rumbleUpdate
  8004B56C  rumbleTick
  8004BA50  rumbleGetRumble
  8004BAC8  packLoadCharacter
  8004BAE0  packSaveCharacter
  8004BAF4  packLoadGameEprom
  8004BC10  packSaveGameEprom
  8004BCB4  packClearGameEprom
  8004BD78  packEraseEprom
  8004BE6C  packLoadGlobalFlagsEprom
  8004BEE4  packSaveGlobalFlagsEprom
  8004BF2C  flashROMInit
  8004C080  packOpen
  8004C290  packClose
  8004C2BC  packInit
  8004C498  packIsPresent
  8004C4F0  packRepair
  8004C57C  packFormat
  8004C618  packDirectory
  8004C910  packDirectoryFree
  8004C940  packFreeSpace
  8004CA58  packDeleteFile
  8004CB10  packCopyFile
  8004CC44  packOpenFile
  8004CD6C  packReadFile
  8004CE30  packWriteFile
  8004D080  packFileSize
  8004D2D0  piInit
  8004D37C  piRomLoad
  8004D424  piRomLoadCompressed
  8004D530  piRomLoadSection
  8004D5B0  piRomGetSectionPtr
  8004D5F8  piRomGetFileSize
  8004D640  romCopy
  8004D740  prnBorder
  8004DA10  rcpFast3d
  8004DCB0  rcpWaitDP
  8004DD84  rcpSetScreenColour
  8004DDAC  rcpSetBorderColour
  8004DDEC  rcpClearZBuffer
  8004DFC4  rcpClearScreen
  8004E338  rcpInitDp
  8004E3E8  rcpInitDpNoSize
  8004E40C  rcpInitSp
  8004E430  rcpInit
  8004E4E8  rcpMosaicClear
  8004EB0C  rcpCheckClear
  8004EDBC  rcpTileWrite
  8004F02C  rcpTileWriteX
  8004F700  osCreateScheduler
  8004F85C  osScAddClient
  8004F8C0  osScRemoveClient
  8004F950  osScGetCmdQ
  8004F958  osScGetInterruptQ
  8004F960  osScGetAudioSPStats
  800509B0  __scTaskReady
  80050E90  segSetBase
  80050ED0  squadsIsTribal
  80050F44  squadsGetSquadronList
  80050F60  BaddyTypeToIndex
  8005122C  CreateStaticInstance
  8005131C  squadsRememberRomdef
  80051350  AddToDisactivatedSquaddies
  800513A0  GetFirstDisactivatedSquaddie
  80051420  squadsInitialiseBeforeObjects
  80051484  GetSquadronFromIdentifier
  80051508  GetSquaddieFromIdentifiers
  800515D0  squadsCheckEnemyPointers
  80051660  squadsCheckGrenades
  800516EC  GetFormationInfo
  80051880  ProcessNodeChange
  80051EA4  squadsInitialiseAfterObjects
  80052678  squadsInit
  8005269C  squadsPreInit
  80052734  squadsAddInterestingEvent
  80052798  CopyStaticsToKernel
  800527F0  GetSymbolName
  80052CFC  runlinkDownloadCode
  800531C8  runlinkEnsureJumpIsValid
  80053370  runlinkIsModuleLoaded
  8005342C  runlinkFreeCode
  80053934  runlinkFlushModules
  800539E0  runlinkInitialise
  80053C44  runlinkSuspendCode
  80053D2C  runlinkResumeCode
  8005414C  runlinkResumeAll
  800541B0  runlinkSetDestructTimer
  80054204  runlinkTick
  800542C4  runlinkLowMemoryPanic
  80054368  runlinkGetAddressInfo
  80054530  TrapDanglingJump
  80054710  viInit
  8005483C  viChangeMode
  80054B44  viReset
  80054C4C  viAllocateZBuffer
  80054CA4  viFreeZBuffer
  80054CF0  viSetTiming
  80054EA0  viGetCurrentSize
  80054EF0  viConvertXY
  80054F74  viGetScaleXY
  80054F90  viFrameRateReset
  80054FBC  viFrameSync
  80055180  viGetVideoMode
  80055198  viGetWideAdjust
  800551A8  viSetWideAdjust
  800551E8  viSetTrippleBuffer
  800551F8  viGetTrippleBuffer
  80055208  viChangeBuffers
  80055228  viNoClear
  80055234  viDisplayingScreen0
  800554B0  texInitTextures
  8005564C  texDisableModes
  80055668  texEnableModes
  80055684  texModelTextureLoad
  80055694  texLoadTexture
  80055A00  texFreeTexture
  80055AB8  texGetTextureNum
  80055B0C  texLoadTextureAddr
  80055B34  setTexMemColour
  80055B40  texFrame
  80055B80  texDPInit
  80055C00  texDPTextureX
  80056000  sprSetTextureFilter
  8005600C  sprSetIA2ColOverride
  80056064  sprClearIA2ColOverride
  80056070  sprDPset
  80056798  texLoadSprite
  80056C14  texFreeSprite
  800577A8  texAnimateSprite
  80057A10  texAnimateTexSprite
  80057A54  texAnimateTexture
  80057CEC  initColourCycle
  80057D1C  resetColourCycle
  80057D58  updateColourCycle
  80057F40  resetMixCycle
  80057F8C  updateMixCycle
  800580C0  screenLoad
  80058204  screenDraw
  80058460  setLanguage
  80058590  initFront
  800586E0  frontFreeMode
  8005886C  frontInitMode
  800589F0  frontSetMode
  80058A5C  frontGetMode
  80058A6C  frontUpdate
  80058C54  frontDemoMessage
  80058D5C  frontInstruments
  80058E78  frontUpdateTimer
  80058EF0  frontPrintNum
  800595F4  frontDrawRectangles
  80059814  frontDrawRectangle
  80059864  frontFlashScreen
  80059938  frontPlayerScreenLimits
  80059CCC  freeFrontEndList
  80059D2C  freeFrontEndItem
  80059E1C  loadFrontEndList
  80059E7C  loadFrontEndItem
  80059FE8  setupFrontEndList
  8005A048  setupFrontEndObject
  8005A0D0  frontDrawObj
  8005A51C  frontSetupMultiPickup
  8005A794  frontGameSelected
  8005A79C  frontGetWorldLevel
  8005A7A4  frontGetWorldName
  8005A7D0  frontGetLanguage
  8005A7E0  frontSetLanguage
  8005A804  frontGetScreenMode
  8005A834  frontSetScreenMode
  8005A8C4  frontStoreScreenMode
  8005A8D8  frontRecallScreenMode
  8005A8E8  frontGetLevelScreenMode
  8005A950  frontGetWideAdjust
  8005A960  frontSetWideAdjust
  8005A98C  frontGetStereoMode
  8005A99C  frontSetStereoMode
  8005A9E4  frontGetSfxVolume
  8005A9F4  frontSetSfxVolume
  8005AA30  frontGetBgmVolume
  8005AA40  frontSetBgmVolume
  8005AA7C  frontGet2PlayerSplit
  8005AA94  frontSet2PlayerSplit
  8005AAB8  frontGetTargetControl
  8005AAD0  frontSetTargetControl
  8005AAE8  frontCharSelectSetQuitMode
  8005AB00  initWeather
  8005AC04  setWeatherLimits
  8005AC58  freeWeather
  8005AD90  setupWeather
  8005B1C0  changeWeather
  8005B3CC  doWeather
  8005BEF8  rainSetFog
  8005BFC4  rainDensity
  8005CE60  partFreeLib
  8005EC98  partInitTrigger
  8005ED54  partInitTriggerSPPos
  8005EDA4  partInitTriggerPos
  8005F4F4  partObjFreeTriggers
  8005F5A0  partAdjustScaling
  8005F5AC  partUpdateTriggers
  800602C0  partModelObjEmitModelPart
  80063358  partUpdateParticles
  80063730  partDraw
  8006382C  partNullifyCircularParticleParents
  800638E0  memset
  80063914  _itoa
  800639DC  sprintfSetSpacingCodes
  800639E8  sprintf
  80063A14  vsprintf
  80064D9C  diPrintfInit
  80064DF0  diPrintf
  80064E8C  diPrintfAll
  800650FC  diPrintfSetCol
  800651A4  diPrintfSetBG
  8006524C  diPrintfSetXY
  80065CE0  diRcpTraceInit
  80065D24  diRcpTraceReset
  80065D50  diRcpTrace
  80065E28  diRcpTraceGetInfo
  80065F80  diRcpPrintDL
  80066B80  diCpuTraceInit
  80067610  diCpuReportWatchpoint
  800676B4  diCpuLogMessage
  800678C4  diCpuTraceMallocFault
  80067950  diCpuTraceGetFault
  80067958  diCpuTraceTick
  800682F0  cpuXYPrintf
  800683D4  __rmonSendFault
  80068440  diCpuTraceCurrentStack
  80068450  fxInitLevelEffects
  80068494  fxAddLevelEffect
  80068874  fxClearLevelEffects
  800688D8  fxLevelFreeLevelEffects
  80068938  fxLevelAllocateLevelEffects
  80068A64  fxUpdateLevelEffects
  80068B54  fxDrawLevelEffects
  80068DF8  fxFreeCone
  80068E58  fxAllocateCone
  800694CC  fxMakeConeTextureCoords
  8006999C  fxMakeConeLength
  80069BE8  fxDrawCone
  8006A6B0  wakeSetupRipple
  8006A8D4  wakeFreeRipple
  8006B090  wakeUpdateRipple
  8006B69C  wakeDrawRipple
  8006B8C4  fxInit
  8006B95C  disableClearScreen
  8006B96C  enableClearScreen
  8006B978  fxFadeOn
  8006B9CC  setupClearScreen
  8006BC34  updateClearScreen
  8006BD54  drawClearScreen
  8006D0D8  fxInitLines
  8006D390  fxDrawLine
  8006D58C  fxDrawLineInWindow
  8006D600  fxSetClipWindow
  8006D60C  fxTinyPrint
  8006D70C  fxInttostr
  8006D7F0  fxDrawLine3D
  8006DA1C  PlotAddRGB
  8006DAE8  PlotAddRG
  8006E0C4  fxDrawDigitalNumber
  8006E188  fxOutputLines
  8006EDF0  fxInitNightVision
  8006EE28  fxFreeNightVision
  8006EE50  fxNightVision
  8006EE60  fxDrawNightVision
  8006F078  fxNightVisionSkip
  8006F084  fxSPDPRipple
  8006F424  fxQueueScreenEffect
  8006F4A0  fxUnQueueScreenEffect
  8006F550  fxScreenEffect
  8006F8E4  fxGenerateTextures
  8006F998  fxCpuTextureRequired
  8006FB18  fxCpuTextureFlush
  8006FBF0  fontSetWindow0
  8006FC14  fontSetButtonMode
  8006FC20  fontSetWindowNoise
  8006FC54  fontUseFont
  8006FC68  fontColour
  8006FC8C  fontBackground
  8006FCA8  fontPrintXY
  8006FCEC  fontPrintWindowXY
  800706D4  fontStringWidth
  8007078C  fontWindowSize
  8007082C  fontWindowUseFont
  80070848  fontWindowColour
  80070888  fontWindowFontColour
  800708D0  fontWindowFontBackground
  80070910  fontWindowAddStringXY
  80070BF8  fontWindowFlushStrings
  80070C4C  fontWindowEnable
  80070C78  fontWindowDisable
  80070CA4  fontStringAddNumber
  80070D68  fontWindowsDraw
  80070EAC  fontWindowDraw
  800715E8  fontCreateDisplayList
  800720FC  fontConvertString
  8007216C  fontGetLine
  8007230C  fontYSpacing
  80072330  osCreatePiManager
  800724A0  rzipInit
